"","xcoord","ycoord","pforce"
"412",1012913,240553,1
"413",1021558,240558,1
"414",1019821,240595,1
"415",1033731,240638,2
"416",1020079,240641,1
"417",1014440,240645,1
"418",1005270,240674,1
"419",1021527,240695,2
"420",1020416,240701,3
"421",1014441,240714,2
"422",1020587,240732,2
"423",1020719,240758,1
"424",1020800,240769,1
"425",1013077,240795,1
"426",1021023,240809,2
"427",1013083,240814,1
"428",1004749,240880,3
"429",1022888,240882,1
"430",1006516,240907,2
"431",1021603,240912,3
"432",1021751,240942,1
"433",1015960,240988,4
"434",1025726,241003,1
"435",1008338,241010,1
"436",1014710,241016,1
"437",1010859,241026,3
"438",1006128,241071,1
"439",1017429,241149,1
"440",1012877,241159,1
"441",1017948,241204,1
"442",1007850,241218,3
"443",1008139,241234,1
"444",1018207,241234,1
"445",1012113,241267,1
"446",1007617,241317,2
"447",1019527,241348,1
"448",1025659,241359,1
"449",1007649,241385,2
"450",1019802,241397,1
"451",1018703,241414,1
"452",1007383,241421,1
"453",1020315,241487,1
"454",1009004,241514,3
"455",1006065,241543,1
"456",1018676,241545,1
"457",1007141,241554,3
"458",1008292,241571,1
"459",1032598,241603,1
"460",1009787,241618,1
"461",1025612,241623,1
"462",1003608,241656,2
"463",1008053,241673,2
"464",1008346,241686,3
"465",1019464,241704,1
"466",1012258,241723,1
"467",1014716,241733,1
"468",1014172,241737,1
"469",1006789,241748,1
"470",1007814,241775,6
"471",1006681,241801,1
"472",1012706,241820,1
"473",1018626,241859,1
"474",1008421,241868,2
"475",1007579,241875,2
"476",1010677,241911,2
"477",1007021,241916,1
"478",1008177,241943,2
"479",1024673,241993,1
"480",1030094,242032,1
"481",1008773,242041,2
"482",1022487,242044,2
"483",1008390,242057,1
"484",1003231,242072,2
"485",1006603,242087,1
"486",1023780,242102,1
"487",1007989,242164,1
"488",1010031,242187,1
"489",1011624,242194,1
"490",1003563,242217,1
"491",1008023,242241,1
"492",1006709,242261,3
"493",1003591,242274,5
"494",1006684,242275,2
"495",1018546,242290,1
"496",1008046,242292,6
"497",1007770,242308,4
"498",1011408,242310,8
"499",1021081,242320,1
"500",1018802,242336,3
"501",1006428,242389,3
"502",1012839,242402,1
"503",1009525,242406,1
"504",1011876,242454,2
"505",1019609,242482,1
"506",1010973,242491,1
"507",1008137,242505,1
"508",1007287,242526,1
"509",1007871,242538,1
"510",1031495,242545,1
"511",1017695,242597,1
"512",1008176,242598,1
"513",1012399,242606,1
"514",1007050,242630,1
"515",1010221,242648,4
"516",1024056,242689,1
"517",1010250,242703,1
"518",1003791,242739,1
"519",1003519,242745,1
"520",1005918,242774,1
"521",1009381,242787,1
"522",1009399,242831,1
"523",1010603,242831,1
"524",1012075,242857,1
"525",1004996,242870,1
"526",1010081,242876,1
"527",1008027,242878,1
"528",1008325,242923,2
"529",1025377,242930,2
"530",1007197,242947,1
"531",1010366,242992,1
"532",1004689,243002,2
"533",1003637,243020,4
"534",1009716,243024,1
"535",1008374,243025,1
"536",1007672,243030,3
"537",1009207,243050,1
"538",1015021,243050,1
"539",1018323,243096,1
"540",1004449,243104,1
"541",1007469,243106,1
"542",1018399,243107,1
"543",1003946,243109,1
"544",1009517,243117,1
"545",1018509,243130,1
"546",1007366,243161,1
"547",1004309,243167,7
"548",1007312,243183,2
"549",1010450,243189,1
"550",1004234,243196,1
"551",1018912,243198,1
"552",1009273,243207,3
"553",1017854,243216,1
"554",1010806,243234,5
"555",1012453,243248,2
"556",1004836,243259,3
"557",1025502,243265,1
"558",1010485,243271,3
"559",1010491,243271,2
"560",1004025,243286,4
"561",1003522,243318,2
"562",1007022,243322,1
"563",1019719,243343,1
"564",1003792,243378,3
"565",1006870,243393,1
"566",1017761,243396,1
"567",1020240,243433,1
"568",1010554,243434,2
"569",1004360,243448,2
